         4375343 function calls (4297319 primitive calls) in 6.696 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   519951    1.980    0.000    1.980    0.000 {built-in method builtins.round}
   100/20    1.870    0.019    4.084    0.204 c:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\algorithms.py:63(construct_path)
620685/585082    0.581    0.000    3.104    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\algorithms.py:143(cost)
519951/485842    0.508    0.000    2.548    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\actions.py:16(C)
97683/95672    0.461    0.000    0.548    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\random.py:454(choices)
   195366    0.226    0.000    0.226    0.000 {built-in method numpy.array}
    97688    0.207    0.000    0.207    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   519953    0.125    0.000    0.125    0.000 {built-in method builtins.max}
    98549    0.110    0.000    0.110    0.000 {method '__exit__' of '_thread.lock' objects}
   519951    0.099    0.000    0.099    0.000 {built-in method math.sin}
        1    0.081    0.081    6.680    6.680 c:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\algorithms.py:117(ants_colony)
97683/94863    0.066    0.000    0.326    0.000 {method 'sum' of 'numpy.ndarray' objects}
   193139    0.047    0.000    0.047    0.000 {method 'add' of 'set' objects}
   293702    0.039    0.000    0.039    0.000 {built-in method builtins.len}
97683/94863    0.032    0.000    0.258    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\ademe\Lib\site-packages\numpy\core\_methods.py:47(_sum)
    97683    0.031    0.000    0.031    0.000 {built-in method _bisect.bisect_right}
    97683    0.026    0.000    0.026    0.000 {method 'index' of 'list' objects}
       85    0.022    0.000    0.359    0.004 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:637(wait)
      170    0.020    0.000    0.225    0.001 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:323(wait)
    97683    0.019    0.000    0.019    0.000 {built-in method math.isfinite}
    97792    0.019    0.000    0.019    0.000 {method 'append' of 'list' objects}
  951/765    0.019    0.000   11.053    0.014 {method 'acquire' of '_thread.lock' objects}
    85/10    0.018    0.000    6.540    0.654 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1016(_bootstrap)
        1    0.014    0.014    6.696    6.696 c:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\main.py:15(main)
    97683    0.013    0.000    0.013    0.000 {method 'random' of '_random.Random' objects}
    85/10    0.012    0.000    6.516    0.652 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:999(run)
    85/10    0.010    0.000    6.530    0.653 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1056(_bootstrap_inner)
       85    0.006    0.000    0.384    0.005 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:973(start)
      100    0.005    0.000    0.405    0.004 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py:183(_adjust_thread_count)
   100/20    0.005    0.000    5.092    0.255 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py:53(run)
      100    0.004    0.000    0.431    0.004 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py:164(submit)
       85    0.003    0.000    0.003    0.000 {built-in method _thread.start_new_thread}
    16/11    0.003    0.000    0.050    0.005 {method 'get' of '_queue.SimpleQueue' objects}
       85    0.003    0.000   12.985    0.153 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1115(join)
       85    0.003    0.000   11.967    0.141 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1153(_wait_for_tstate_lock)
    85/10    0.002    0.000    6.119    0.612 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py:69(_worker)
        6    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      195    0.001    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:277(__init__)
       85    0.000    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:882(__init__)
      100    0.000    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:537(set_result)
      170    0.000    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:855(_maintain_shutdown_locks)
      100    0.000    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:468(acquire)
      586    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:299(__enter__)
      279    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      586    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:302(__exit__)
      201    0.000    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:394(notify)
       85    0.000    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1043(_set_tstate_lock)
       85    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
      100    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:124(RLock)
      340    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
      127    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\random.py:291(randrange)
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1106(_delete)
      185    0.000    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:424(notify_all)
     1000    0.000    0.000    0.000    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_année\AlgoAvancee\algorithms.py:138(neighbors_cache)
      185    0.000    0.000    0.000    0.000 {method 'get_nowait' of '_queue.SimpleQueue' objects}
      104    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       85    0.000    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:616(set)
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\threading.py:1079(_stop)
      585    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      100    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:497(set_running_or_notify_cancel)
      100    0.000    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:328(__init__)
      195    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
      127    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\random.py:242(_randbelow_with_getrandbits)
       10    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py:126(__init__)
      100    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py:428(result)
       85    0.000    0.000    0.000    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\weakref.py:427(__setitem__)
       10    0.000    0.000    6.544    0.654 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py:219(shutdown)
