         2833580 function calls (2833480 primitive calls) in 301.086 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   505518  295.981    0.001  299.023    0.001 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\algorithms.py:249(cost)
   495396    2.207    0.000    2.207    0.000 {built-in method builtins.round}
       10    1.615    0.161  295.134   29.513 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\algorithms.py:114(construct_path)
   495396    0.584    0.000    3.041    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\actions.py:17(C)
    10064    0.134    0.000    0.148    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\random.py:454(choices)
   495398    0.127    0.000    0.127    0.000 {built-in method builtins.max}
   495396    0.124    0.000    0.124    0.000 {built-in method math.sin}
    20128    0.081    0.000    0.081    0.000 {built-in method numpy.array}
   170904    0.062    0.000    0.062    0.000 {method 'add' of 'set' objects}
        1    0.046    0.046    0.048    0.048 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\module.py:82(verify_solution)
    10069    0.037    0.000    0.037    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    10064    0.015    0.000    0.060    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.014    0.014  301.024  301.024 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\algorithms.py:230(ants_colony)
    10064    0.009    0.000    0.010    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\algorithms.py:244(neighbors_cache)
    10064    0.009    0.000    0.046    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\_methods.py:47(_sum)
    30935    0.007    0.000    0.007    0.000 {built-in method builtins.len}
        6    0.006    0.001    0.007    0.001 {built-in method builtins.print}
    10064    0.006    0.000    0.006    0.000 {method 'index' of 'list' objects}
    10064    0.005    0.000    0.005    0.000 {built-in method _bisect.bisect_right}
    10173    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    10064    0.002    0.000    0.002    0.000 {built-in method math.isfinite}
    10064    0.002    0.000    0.002    0.000 {method 'random' of '_random.Random' objects}
     2404    0.001    0.000    0.003    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\random.py:291(randrange)
     2404    0.001    0.000    0.001    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\random.py:242(_randbelow_with_getrandbits)
      100    0.001    0.000    0.001    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\actions.py:10(neighbors)
        2    0.001    0.000    0.001    0.001 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\module.py:31(generate_random_symetrical_weighted_graph)
     2394    0.001    0.000    0.004    0.000 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\module.py:77(<genexpr>)
     2404    0.001    0.000    0.004    0.000 C:\Users\flori\AppData\Local\Programs\Python\Python312\Lib\random.py:332(randint)
        1    0.000    0.000    0.001    0.001 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\utilities.py:9(connexity)
     7212    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       56    0.000    0.000    0.004    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.001    0.001 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\module.py:10(generate_random_symetrical_boolean_graph)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     3134    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000  301.086  301.086 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\main.py:15(main)
     2404    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        2    0.000    0.000    0.000    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
    101/1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:789(recurser)
      100    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\lib\twodim_base.py:485(triu)
        2    0.000    0.000    0.000    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      100    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:739(_extendLine)
        1    0.000    0.000    0.005    0.005 c:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\module.py:69(generate_random_delivery_requests)
      100    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:753(_extendLine_pretty)
        3    0.000    0.000    0.000    0.000 {method 'outer' of 'numpy.ufunc' objects}
      100    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:53(_wrapfunc)
      100    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:1881(nonzero)
      100    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:1231(__call__)
       14    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        5    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\numeric.py:136(ones)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      100    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:561(array2string)
        6    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      100    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\lib\twodim_base.py:366(tri)
      102    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:1223(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:452(_get_format_function)
        6    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\lib\twodim_base.py:33(_min_int)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:523(_array2string)
      100    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:1877(_nonzero_dispatcher)
        2    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\fromnumeric.py:2979(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:780(_formatArray)
        6    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\getlimits.py:696(min)
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:64(_make_options_dict)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\arrayprint.py:1595(_array_str_implementation)
        6    0.000    0.000    0.000    0.000 C:\Users\flori\Documents\Cesi\Cours\3eme_ann�e\AlgoAvancee\ademe\Lib\site-packages\numpy\core\getlimits.py:709(max)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
